,ADDRESS,BATHS,BEDS,CITY,DAYS ON MARKET,DESC,HOA/MONTH,LATITUDE,LOCATION,LONGITUDE,LOT SIZE,PRICE,PROPERTY TYPE,SALE TYPE,SQUARE FEET,SQUAREFT,STATE,STATUS,URL,YEAR BUILT,ZIP,FAVORITED
89,12347 Clubhouse Lane,2.5,3,Mukilteo,18,"Stunning Mukilteo home in Harbour Pointe. Highlights include updated kitchen with quartz countertops and tile backsplash, stainless steel appliances, and a separate eating area surrounded by windows for an abundance of natural light. Updated master and upper level bathrooms. An office on the main floor and spacious bonus room with a large window on upper level. Large flat backyard backs up to the gorgeous Harbour Pointe Golf Course. Close to shopping, sound and Boeing. Your new home awaits!",34.0,47.8859854,Harbour Pointe,-122.3183758,8712.0,795000,Single Family Residential,MLS Listing,2375.0,335.0,WA,Active,http://www.redfin.com/WA/Mukilteo/12347-Clubhouse-Ln-98275/home/2864059,2000.0,98275,N
90,702 NW 3rd Ct,2.5,3,Renton,18,"Spacious and stylish, this updated 3 BR home in quiet Bryn Mawr neighborhood features new Hardie board siding, bamboo flooring, fireplace, dining area overlooks fenced yard, Master ensuite & attached double car garage. The multipurpose bonus room can be a media room or a play space. Private backyard is perfect for summer entertaining & bbq-ing. Located in the quiet cul-de-sac. Minutes from The Landing shopping center, Downtown Renton, Coulon Beach Park, restaurants. Easy access to I-5 & 405.",0.0,47.4880511,Bryn Mawr,-122.2268061,4531.0,510000,Single Family Residential,MLS Listing,1750.0,291.0,WA,Active,http://www.redfin.com/WA/Renton/702-NW-3rd-Ct-98057/home/2084787,2004.0,98057,N
91,8409 Naketa Lane,3.0,4,Mukilteo,18,"Breathtaking views of Puget Sound in this Mukilteo gem. A grand double door entry leads you into this spacious home w/ soaring ceilings & large windows for an abundance of natural light. Chef's kitchen offers bar seating, granite countertops, ss appliances, & double oven. The master retreat boasts a luxurious ensuite bath, spacious closet, & private balcony entrance w/ sweeping views. Features extensive landscaping & a backyard w/ fish pond! Close to restaurants, the Sound, & Boeing. Welcome home!",0.0,47.9212778,Mukilteo,-122.30800390000002,12632.0,950000,Single Family Residential,MLS Listing,3194.0,297.0,WA,Active,http://www.redfin.com/WA/Mukilteo/8409-Naketa-Ln-98275/home/2761125,1979.0,98275,N
92,9607 NE 132nd St,1.75,4,Kirkland,18,"Delight is this well maintained updated 4Bed 2Bath 1,650 sq. ft. home. You'll enjoy the beautiful original 1960's hardwood floors. Living and Family Rooms are centered around the dual woodburning fireplace. Both Bathrooms have been gorgeously updated. Kitchen features s/s appliances, eating bar, tile counters & floor. Extra large flat, private fully fenced backyard perfect for entertaining and plenty of garden space. Large custom shed w/ barn doors & wrap around roof porch that matches the house.",0.0,47.7183044,Juanita,-122.2126998,9305.0,589950,Single Family Residential,MLS Listing,1650.0,358.0,WA,Active,http://www.redfin.com/WA/Kirkland/9607-NE-132nd-St-98034/home/277044,1960.0,98034,N
93,7548 35th Ave NE,2.0,4,Seattle,18,"Don’t miss this stunning, light-filled home in the heart of Wedgwood! Featuring hardwood floors, all new carpet & paint, new furnace & water heater & beautiful vaulted cedar tongue & groove ceilings. 2 beds + full bath on both main & upper levels, & large family room downstairs. Impeccably landscaped & fully fenced, private front & back yard w/ huge entertainer’s deck. Parking pad in front. Highly desired location w/ easy access to downtown, U-Village, UW, shops, restaurants & more! Great schools!",0.0,47.6844492,Wedgwood,-122.2902264,5200.0,935000,Single Family Residential,MLS Listing,2530.0,370.0,WA,Active,http://www.redfin.com/WA/Seattle/7548-35th-Ave-NE-98115/home/317780,1947.0,98115,N
94,10822 E Riverside Dr Unit A305,1.0,1,Bothell,19,"Upper level unit with vaulted ceilings in desirable Bothell Station! This unit overlooks the Burke-Gilman trail, views of Sammamish River from deck, and affords easy access to updated, bustling downtown Bothell. One bedroom, one full bath, stacked washer and dryer, and French doors that lead to bonus space that can be used for dining or office. All appliances stay. Easy access to I405, shops, and restaurants. Great investment opportunity.",322.0,47.754325,Sammamish River,-122.195317,128751.0,215000,Condo/Co-op,MLS Listing,605.0,355.0,WA,Active,http://www.redfin.com/WA/Bothell/10822-E-Riverside-Dr-98011/unit-A305/home/51362,1985.0,98011,N
95,22426 95th Ct S,2.5,4,Kent,20,"Spacious, newer construction, tucked-away in a private location. This home features a great room concept with gas fireplace, kitchen with stainless & granite, gas cooking and pantry. Dining area has access to the patio and fenced backyard, which backs to a greenbelt. 4 bedrooms up, including the master with 2 walk-in closets and 5-piece bath. Bonus area perfect for a computer workstation or playroom. Big 2-car garage with extra storage. Great location close to 167, Sounder & Kent Station!",0.0,47.4006092,Kent,-122.2132136,6672.0,475000,Single Family Residential,MLS Listing,2082.0,228.0,WA,Active,http://www.redfin.com/WA/Kent/22426-95th-Ct-S-98031/home/22673459,2013.0,98031,N
96,20021 95th Place NE,1.75,3,Bothell,24,"Gorgeous rambler with remodeled kitchen and bathroom! Highlights include a hobby room converted in the garage, original hardwood floors, and cozy fireplace. Updated kitchen boasts stainless steel appliances, granite countertops, and clean white cabinetry. Master bedroom offers a separate seating area with access to the backyard deck and fireplace. Large yard includes deck, patio with firepit, garden area, & outdoor kitchen. McMennamins Pool Rights inc. Close to parks and easy access to I-405.",0.0,47.77364620000001,Downtown Bothell,-122.2138773,9732.0,579900,Single Family Residential,MLS Listing,1530.0,379.0,WA,Active,http://www.redfin.com/WA/Bothell/20021-95th-Pl-NE-98011/home/286382,1965.0,98011,N
97,20014 SE 240th St,1.75,4,Maple Valley,25,"1 story home + shop/barn w/ 10K lb rated loft, loafing shed, 7 permanent pastures, detached studio on over 3.5 acres! High grade planked laminate flrs, remodeled & expanded kitchen w/ double oven, pantry & bar seating opens 2 formal dining rm; formal living w/ wd burning fp; family rm w/ wood beam accents & gas fp; master suite w/ attached remodeled bath behind barn door; 3 generous sized guest BRs + full bath w/ 2nd H2O tank; utility rm w/ sink, patio w/ hot tub, tons of parking, minutes to shopping!",0.0,47.3877417,Maple Valley,-122.0745578,155509.0,749950,Single Family Residential,MLS Listing,2290.0,327.0,WA,Active,http://www.redfin.com/WA/Maple-Valley/20014-SE-240th-St-98038/home/392095,1977.0,98038,N
98,18200 NE 110th St,2.5,3,Redmond,25,"Incredible opportunity in this gorgeous & bright Tyler’s Creek home in Education Hill assigned to 10 star Lk WA Schools. Showcasing quality design w/ open concept flr plan & hardwood flrs on main level & stylish finishes throughout! Kitchen features granite counters, SS appliances & private patio. Upstairs features bonus RM, lrg laundry & 3 BR/2 BA including master suite w/ reading area, 5 piece BA & 2 walk-in closets! Secure garage! EZ access to Microsoft, Nintendo, mins to DT Redmond & more!",35.0,47.6982269,Education Hill,-122.0969747,5246.0,1100000,Single Family Residential,MLS Listing,2510.0,438.0,WA,Active,http://www.redfin.com/WA/Redmond/18200-NE-110th-St-98052/home/18659382,2008.0,98052,N
99,15212 SE 175th Place,2.5,4,Renton,25,"Welcome home to your private getaway. This amazing two owner home underwent major renovations a while back to add increased space and natural light. A wrap around sun room off the kitchen faces your private backyard, pond and golf course. Great home for entertaining or just enjoying your morning coffee in any weather. Elegant entry leads to open floor plan kitchen/family room and sun room. Master suite with vaulted ceilings, fireplace, private deck and hot tub. A must see home.",25.0,47.44620670000001,Fairwood Greens,-122.1376068,12800.0,629000,Single Family Residential,MLS Listing,2850.0,221.0,WA,Active,http://www.redfin.com/WA/Renton/15212-SE-175th-Pl-98058/home/231440,1977.0,98058,N
100,1824 175th Place NE,2.5,5,Bellevue,26,"This spacious 5 bed, 2.5 bath home is located on a 12,000+ square foot lot. Enter to the living & dining areas with bamboo flooring that has been installed throughout main floor. Kitchen features granite counters, SS appliances & slider access to the entertainment ready deck. Master bed includes a 3/4 bath. Daylight basement includes a family room, fireplace, 2 beds plus extra finished room. Private & spacious, fully fenced yard backs up to a greenbelt. Award winning schools, close to Microsoft!",0.0,47.6273965,Microsoft,-122.1059528,12010.0,899000,Single Family Residential,MLS Listing,2460.0,365.0,WA,Active,http://www.redfin.com/WA/Bellevue/1824-175th-Pl-NE-98008/home/502494,1968.0,98008,N
101,1414 9th Ave N #201,1.75,3,Edmonds,31,"View, great location, & recently updated makes this Edmonds condo a must have! This 3 Bed 1.75 Bath condo has a remodeled kitchen with quartz counters, stainless appliances and mosaic back splash. Enjoy the amazing view of the Puget Sound from the deck, dining room and master bedroom. Both bathrooms, water heater, windows, & slider have been updated. Secured building has clubhouse, outdoor pool, storage & plenty of parking. Minutes to shopping, restaurants, beach & the heart of downtown.",545.0,47.8217454,Downtown Edmonds,-122.3658742,3920.0,675000,Condo/Co-op,MLS Listing,1545.0,437.0,WA,Active,http://www.redfin.com/WA/Edmonds/1414-9th-Ave-N-98020/unit-201/home/2680161,1969.0,98020,N
102,2720 3rd Ave #1006,1.0,1,Seattle,31,"The ultimate in urban living at award winning Mosler Lofts! Enjoy spectacular views of the Space Needle from your living room! Modern industrial design with open living spaces and high ceilings. Within blocks to Myrtle Edwards & Olympic Sculpture Parks, Seattle Center, and all the dining and nightlife that Belltown has to offer. Amenities include concierge, lounge area, library, fitness room, secured entry & parking and amazing rooftop deck.",416.0,47.6176103,Belltown,-122.34904109999998,,598000,Condo/Co-op,MLS Listing,690.0,867.0,WA,Active,http://www.redfin.com/WA/Seattle/2720-3rd-Ave-98121/unit-1006/home/12536938,2008.0,98121,N
103,18936 179th Place SE,2.5,5,Renton,32,"Spectacular and inviting entry, open floor plan with beautiful finishes. Separate formal vaulted living room & coffered ceiling dining room. Chef’s kitchen, upgraded appliances, subway tile, gorgeous slab granite and a large center island. Great room w/ fireplace. Laundry/Mud room off garage w/ additional closet space. Double doors into Master Suite. Skylights, extended garage w/ extra storage & covered patio. Beautiful fenced private lot! Community Parks & trails. Tankless water heater. Great Location!",50.0,47.43197120000001,Spring Lake,-122.10169,6076.0,730000,Single Family Residential,MLS Listing,2950.0,247.0,WA,Active,http://www.redfin.com/WA/Renton/18936-179th-Pl-SE-98058/home/101612043,2015.0,98058,N
104,8729 176th St SE,3.0,3,Snohomish,32,"Bright & spacious 3 bdrm +bonus rooms w/ custom touches throughout! Stunning hardwood floors, skylights, vaulted ceilings. Picturesque views of the LUSH property! Master suite w/ cozy fireplace & en-suite bth w/ dual sinks, soaking tub & walk-in closet. Chef worthy eat-in kitchen w/ granite counters, SS appl's, double oven, wet/coffee bar. Lower level potential MIL/2nd living area, bonus rooms, family room, indoor jacuzzi, etc. Multi-level deck for entertaining! Detached 728sf garage/shop. Must see!",0.0,47.8381165,Snohomish,-122.1133301,56192.0,785000,Single Family Residential,MLS Listing,3954.0,199.0,WA,Active,http://www.redfin.com/WA/Snohomish/8729-176th-St-SE-98296/home/2670738,1987.0,98296,N
105,17900 23rd Lane NE Unit E-204,1.75,3,Shoreline,33,"Move in ready condo, in convenient location! Large living area w/ picture windows for tons of natural light. Kitchen w/ SS appliances, breakfast bar seating, & eating area! Spacious master bedroom with en-suite bathroom & private balcony access. Two additional generous bedrooms & 3/4 bathroom. Sliding door access to private balcony from the dining area with peaceful views of surrounding evergreens! Amenities include, outdoor pool, clubhouse & sauna. Close to restaurants, shops, parks, & I-5!",435.0,47.7592423,Shoreline,-122.31012340000002,98750.0,469950,Condo/Co-op,MLS Listing,1393.0,337.0,WA,Active,http://www.redfin.com/WA/Shoreline/17900-23rd-Ln-NE-98155/unit-E204/home/63038,1976.0,98155,N
106,26425 Marine View Dr S,2.5,4,Des Moines,39,"This well maintained Des Moines home is move-in ready and waiting for your special touches. The Sound views, large rear deck, spacious landscaped lot and private beach access, all contribute to its feeling of tranquility. The optional Woodmont Beach Club dues include: Boat Launch, Community waterfront/private Beach access, and tennis court. Large, lower level with separate entrance could be MIL or rented separately. 2 car garage with plenty of room for storage. All appliance stay.",0.0,47.3644568,Woodmont,-122.3227113,14520.0,610000,Single Family Residential,MLS Listing,2410.0,253.0,WA,Active,http://www.redfin.com/WA/Des-Moines/26425-Marine-View-Dr-S-98198/home/345594,1956.0,98198,N
107,10203 47th Ave SW Unit C9,1.75,1,Seattle,39,"Magnificent views abound in this stunning & serene West Seattle waterfront condo. Unit completely gutted/remodeled in 2017 w/ thoughtful custom design: chef's kitchen w/ 6-burner dual fuel range; spacious open floor plan to maximize views; Murphy bed in dining area & bath for guests (wall f/ 2nd BR could be added); heated floors in master bath. You'll feel like you're on vacation: long sunny days at the heated outdoor pool on shore's edge, 600 ft private shoreline, boat launch & cmty wood shop.",543.0,47.511345,Fauntleroy,-122.39391100000002,,575000,Condo/Co-op,MLS Listing,1144.0,503.0,WA,Active,http://www.redfin.com/WA/Seattle/10203-47th-Ave-SW-98146/unit-C9/home/145246829,1967.0,98146,N
108,615 Nile Ave NE,2.5,3,Renton,45,"Shy acre lot with R4 zoning located in a very desirable location of the Renton Highlands with Issaquah Schools! This 40,075 sq. ft. lot has sewers to both the NW and NE corners of property. Surrounded by new construction and award winning neighborhoods. Currently there is an existing 2200+ sq. ft. rambler situated on property that is updated w/ vinyl windows, air-conditioning, newer kitchen & nice open floor plan. Bring your builders, developers or live in current home with future potential.",0.0,47.4925855,Highlands,-122.1434396,40075.0,1225000,Single Family Residential,MLS Listing,2210.0,554.0,WA,Active,http://www.redfin.com/WA/Renton/615-Nile-Ave-NE-98059/home/243499,1932.0,98059,N
109,8021 234th St SW #201,1.5,2,Edmonds,45,"Meticulously maintained ground level condo! Bright & open living area w/ sliding door access to private patio! Kitchen w/ dining area & SS appliances! Master bedroom w/ ensuite bathroom & large walk in closet! Generous second bedroom & full bathroom! Secured access, outdoor pool, & beautifully landscaped grounds. Access to shopping, restaurants, entertainment, I-5, Hwy 99, I-405 and all bus routes. Very close to Aurora Transit Center. Great for first time home buyers! 1 assigned parking spot.",455.0,47.787843,Edmonds,-122.341873,116004.0,269950,Condo/Co-op,MLS Listing,978.0,276.0,WA,Active,http://www.redfin.com/WA/Edmonds/8021-234th-St-SW-98026/unit-201/home/11882677,1974.0,98026,N
110,10120 Kenwanda Dr,2.25,3,Snohomish,45,"First time on market in over 40 years! Custom built mid-century daylight rambler. Over 3,800 sq. ft. of living space on nearly 14,000 sq. ft. lot. 2 car garage. Amazing setting on Kenwanda golf course w/ unbelievable views of the Mt. Baker, Cascade Mtn range & all the Snohomish River Valley has to offer (hot air balloons, skydivers, bald eagles). Good bones, great investment! This is an estate sale. Seller selling ""as-is"". Great location to hwy 9, grocery stores, & shopping. Outstanding Schools.",0.0,47.876058,Kenwanda,-122.0955192,13939.0,650000,Single Family Residential,MLS Listing,3856.0,169.0,WA,Active,http://www.redfin.com/WA/Snohomish/10120-Kenwanda-Dr-98296/home/2659762,1974.0,98296,N
111,12553 20th Ave NE,1.75,4,Seattle,46,"Spacious, completely remodeled 4 bedroom home in Olympic Hills! Modern kitchen w/ SS appliances & high-end cabinetry w/ soft close features. New flooring, electrical panel, plumbing fixtures, furnace, water heater & more. Three bedrooms & a full bath on main floor. Lower level has extra large family room w/ 2nd fireplace, 4th bed, 3/4 bath, designated laundry & a bonus room. Tons of storage & an attached garage. Spacious deck & level, fully-fenced backyard. Easy access to DT, SLU, UW & shopping.",0.0,47.7209192,Olympic Hills,-122.3075581,5000.0,724900,Single Family Residential,MLS Listing,1870.0,388.0,WA,Active,http://www.redfin.com/WA/Seattle/12553-20th-Ave-NE-98125/home/115306,1957.0,98125,N
112,2760 76th Ave SE #207,2.0,2,Mercer Island,53,"Over $21k price REDUCTION! Luxury living @ The Carlton on Mercer Island! Light & bright immaculate condo w/ spacious living & dining, a wood FP & slider to deck. Chef’s kitchen w/ SS appliances, granite & pantry. Large storage in laundry room. 1 parking space in enclosed garage+1 storage unit. Secure elevator building. The Carlton includes community ctr, gym & patio w/ BBQ. NO Rental Cap. Just a stroll away from dining/shops/parks. EZ access to I-90. Ideal location btwn Seattle & Bellevue.",617.0,47.58510020000001,Mercer Island,-122.2369633,63234.0,598500,Condo/Co-op,MLS Listing,1120.0,534.0,WA,Active,http://www.redfin.com/WA/Mercer-Island/2760-76th-Ave-SE-98040/unit-207/home/2069171,1989.0,98040,N
113,1701 Bigelow Ave N,5.25,5,Seattle,56,"City living merges with resort amenities at this supremely well-designed home. Open kitchen with 13’ ceiling, mahogany cabinetry with imported counters & the highest quality appliances. Mountain & lake views abound, including a vibrant city skyline from the spectacular master suite. Expansive roof top deck w/ an inspiring 180-degree panorama. Additional luxuries include media room, elevator, indoor pool, hot tub, sauna & more. Impeccable craftsmanship & custom architectural details throughout!",0.0,47.6341811,Queen Anne,-122.3487142,6910.0,6295000,Single Family Residential,MLS Listing,7750.0,812.0,WA,Active,http://www.redfin.com/WA/Seattle/1701-Bigelow-Ave-N-98109/home/134359,2008.0,98109,N
114,,1.75,5,Bellevue,56,"Investors & dream builders–you've found the perfect quiet, secluded home nestled in the treetops on private 18k+ sq. ft. lot. Classic NW home in coveted South Meydenbauer w/ remarkable views of the sparkling Bellevue skyline–a spacious, private property w/ garden space set against the backdrop of DT Bellevue on a quiet cul-de-sac w/ multi- million dollar homes. Walkable to Old Town Bellevue's Main Street, downtown Bellevue & Chism Beach Park. In the middle of it all, but a world apart.",0.0,47.6028007,Meydenbauer,-122.2091114,18019.0,1600000,Single Family Residential,MLS Listing,2760.0,580.0,WA,Active,http://www.redfin.com/WA/Bellevue/Undisclosed-address-98004/home/253458,1954.0,98004,N
115,14909 175th Ave SE,2.5,3,Renton,158,"Remodeled mid-century rambler surrounded by nature & in Issaquah School District. Secluded location with Cedar River and territorial views yet convenient to all areas via 405, I5, and 167 as well as “back road” thoroughfares – great for commuters! Floor to ceiling windows bring amazing light. Huge deck overlooking Cedar River for year round entertainment. All new finishes: windows, electrical, hardwoods, quartz countertops and much more. Large attached carport.",0.0,47.468161,East Renton,-122.1087007,26374.0,490000,Single Family Residential,MLS Listing,1600.0,306.0,WA,Active,http://www.redfin.com/WA/Renton/14909-175th-Ave-SE-98059/home/248573,1970.0,98059,N
116,12112 215th Place SE,2.25,3,Snohomish,1,"Space, privacy & serenity greet you here. Entertain your company on the cedar deck that takes advantage of the incredible outdoor setting, or read a book on the stone patio next to the koi pond, or garden in your greenhouse. Add'l heated structure can be an office or hobby/craft room. Snuggle up to a cozy wood stove in your family room to watch the birds & wildlife play outside. Avoid freeways with easy back-road access to Redmond and Everett. Quiet, level cul-de-sac off dead-end street.",0.0,47.8016011,Echo Lake,-122.0683501,30492.0,525000,Single Family Residential,MLS Listing,1676.0,313.0,WA,Active,http://www.redfin.com/WA/Snohomish/12112-215th-Pl-SE-98296/home/2793964,1984.0,98296,N
117,910 Lenora St #1007,1.75,2,Seattle,1,"Live the posh downtown lifestyle in this 10th floor SW corner unit! Just steps from Downtown Seattle, Amazon- and Whole Foods is downstairs! Perfect for entertaining w/ large open layout and chef’s kitchen w/ gas range. Walls of floor to ceiling windows, central A/C, W/ D in unit, parking + storage. A true dining area & huge living room w/ gas fireplace open to spacious deck. Building amenities: 24-hr full-service concierge, clubhouse, gym, hot tub, guest suite & rooftop view deck. No rental cap!",1133.0,47.6177723,Downtown,-122.3367117,86134.0,899000,Condo/Co-op,MLS Listing,1212.0,742.0,WA,Active,http://www.redfin.com/WA/Seattle/910-Lenora-St-98121/unit-1007/home/102173820,2006.0,98121,N
118,3328 S 221st St,2.0,3,SeaTac,1,"Completely rebuilt and remodeled inside and out. 1400sf home in a prime location close to I5 and shopping, corner 14000sf lot with plenty of room outside. 3 Bedrooms + Office, 2 Full baths. Brand new kitchen, bathrooms, laminate and tile flooring, windows, metal roof, siding, deck, porch, shed. Re-insulated interior and crawlspace, all new pex plumbing, LED lighting. Stainless steel appliances. Partially fenced back yard for bbq and entertainment",0.0,47.4037213,SeaTac,-122.2890828,14000.0,299000,Mobile/Manufactured Home,MLS Listing,1400.0,214.0,WA,Active,http://www.redfin.com/WA/Seattle/3328-S-221st-St-98198/home/2086935,1986.0,98198,N
119,15431 73rd Ave SE,2.75,3,Snohomish,1,"You will wake up smiling with the morning light beaming in as you gaze out to your mountain sunrise views. This 3,160 square foot 2-story home features on the main floor an updated kitchen, large dining room with views, formal living room, spacious family room, 2 bedrooms and an extra finished room. Upper floor boast your master bedroom suite with views and den/office. All this on a 1 acre cleared lot located close to amenities but far enough way for solitude and privacy.",0.0,47.856932,Cathcart,-122.1336577,45930.0,725000,Single Family Residential,MLS Listing,3160.0,229.0,WA,Active,http://www.redfin.com/WA/Snohomish/15431-73rd-Ave-SE-98296/home/113826656,1951.0,98296,N
120,3043 Island Crest Wy Unit 1-5,5.0,9,Mercer Island,1,"Well located in a walkable neighborhood blocks from the vibrant Mercer Island Town Center district, approx a 1/4 mile from I-90, & roughly halfway between Seattle & Bellevue. Immediate upside potential: Raise rents & implement RUBS. Possible to add 6th unit in ground-level laundry/storage area (buyer to verify). Excellent schools, safe community. Spacious, all-corner units. Long-term tenants, mostly MTM. 0.6 miles from park & ride and future Light Rail (opening 2023). Owner-occupant opportunity.",0.0,47.5824261,Mercer Island,-122.23072240000002,9000.0,2000000,Multi-Family (5+ Unit),MLS Listing,5952.0,336.0,WA,Active,http://www.redfin.com/WA/Mercer-Island/3043-Island-Crest-Way-98040/unit-1-5/home/145579080,1960.0,98040,N
121,2721 First Ave #1207,1.75,2,Seattle,1,"Rarely available, Stunning view home at the coveted Avenue One. Sweeping views of Spaceneedle to puget sound from this SE Corner gorgeous home. Just added new Brazilian cheery hardwoods throughout out, custom wallbed & casework added to 2nd bed. Entertainers dream, chefs kitchen, 6 top gas cooktop, stainless appliances, living room features-gas firplace , fabulous balcony to take in sunsets. 5star amenties, with puget sound roof deck, fitness cntr 2pk, 1stg. 24/7 concierge, no rent cap, guest suite.",977.0,47.6160111,Belltown,-122.351532,,988000,Condo/Co-op,MLS Listing,1117.0,885.0,WA,Active,http://www.redfin.com/WA/Seattle/2721-1st-Ave-98121/unit-1207/home/2087424,2005.0,98121,N
122,11920 SE 260th St,2.25,4,Kent,1,"Darling 3 bedroom 1.75 bath popular tri level on the southwest corner of a quiet cul de sac! This corner lot home features. 3 bedrooms on the upper floor, bright and sunny living spaces, and a lower level family room that could be a 4th bedroom, next to the laundry room with half bath. Dining room with separate kitchen access to back yard is ready for summer with its excellent deck space and is designed for entertaining. Less than a 10 minute-drive to Kent station, schools, and parks.",6.0,47.36922120000001,Kent,-122.1831079,7352.0,350000,Single Family Residential,MLS Listing,1330.0,263.0,WA,Active,http://www.redfin.com/WA/Kent/11920-SE-260th-St-98030/home/399540,1986.0,98030,N
123,7042 S 116 Place,1.75,4,Seattle,1,"Remodeled, bright, beautiful, gated home with lush acreage in the Bryn Mawr area. 3 BR, 2 Bath on the main level, 4th BR on the lower level next to a spacious family room. Side entrance out to private patio, perfect for entertaining while listening to melodies of rushing waters from Taylor Creek. Separate mud room entrance leads into laundry room. Brand new stainless steel appliances in kitchen, lots of storage. Almost an acre of land to explore and enjoy.",0.0,47.4986862,Lakeridge,-122.2443442,30164.0,460000,Single Family Residential,MLS Listing,2560.0,180.0,WA,Active,http://www.redfin.com/WA/Seattle/7042-S-116th-Pl-98178/home/197695,1941.0,98178,N
124,2265 NE 73rd St,1.0,2,Seattle,1,"Enjoy a marvelous one level Mid-century home surrounded by a lush, corner lot property near the heart of Ravenna. Featuring delightful social spaces with picture windows and newly finished hardwood floors, two good-sized bedrooms and a full bath, a large kitchen with new flooring and an eating space, a breezeway/covered patio - perfect for indoor/outdoor entertaining, and a large one car garage with storage and workshop space. Near the best restaurants and retail the North end has to offer.",0.0,47.681089,Ravenna,-122.3030825,4635.0,595000,Single Family Residential,MLS Listing,820.0,726.0,WA,Active,http://www.redfin.com/WA/Seattle/2265-NE-73rd-St-98115/home/311240,1950.0,98115,N
125,919 153rd Place SW,2.5,4,Lynnwood,1,"Super sweet Martha Lake home on a corner 1/3 + acre level landscaped lot. Open concept main floor living area with hardwood flooring throughout. Totally remodeled kitchen with granite counters and stainless steel appliances, including microwave/oven and Viking gas cook top. 3 bedrooms and 2 baths located on the main floor including a master suite. Lower level has a oversized family room with a cozy gas fireplace, plus another bedroom and bath. Double car attached garage for security.",0.0,47.8595364,Martha Lake,-122.2460946,16553.0,575000,Single Family Residential,MLS Listing,2306.0,249.0,WA,Active,http://www.redfin.com/WA/Lynnwood/919-153rd-St-SW-98087/home/2786365,1980.0,98087,N
126,1507 Fulton St,1.0,2,Everett,1,"North Everett classic-almost a QUARTER ACRE w/ RV parking, alley access & partial view of the Cascades from the sprawling fenced yard. Garage has new roof, covered breezeway to back door and shop space. Original hardwood floors, skylights. Second bed was converted to a flex room. Fire pit, plum trees, hazelnut and a raspberry patch. This lot includes multiple lot numbers and is one of the larger pieces of land in Everett. Long driveway and lots of parking. Great location in a quiet neighborhood!",0.0,47.9972759,North Everett,-122.1944481,9148.0,279500,Single Family Residential,MLS Listing,868.0,322.0,WA,Active,http://www.redfin.com/WA/Everett/1507-Fulton-St-98201/home/2751796,1930.0,98201,N
127,120 NW 39th St #205,1.0,1,Seattle,1,"Welcome to the Center of the Universe! This modern and fresh condo has a great location with easy access to both freeways and buses. Leave your car in the garage and head out to explore funky Fremont. Take the dog for brunch at Norm's, enjoy a cup of coffee at Fremont Coffee or meet friends for dinner at Red Star. Enjoy a quiet night at home and whip up a meal in your dreamy kitchen with granite counters and stainless appliances, then cozy up under the wall of windows and binge watch Netflix.",239.0,47.6543525,Fremont,-122.3584555,12500.0,340000,Condo/Co-op,MLS Listing,489.0,695.0,WA,Active,http://www.redfin.com/WA/Seattle/120-NW-39th-St-98107/unit-205/home/12318176,1988.0,98107,N
128,1235 20th Ave E,3.75,5,Seattle,1,"Coveted location, pretty outlooks and a classic restoration of this 1909 Capitol Hill Craftsman create a welcoming place to call home. The great floor plan highlights the abundance of light, timeless finishes and relaxed flow between interior and exterior spaces. There are 5 bedrooms upstairs, office, 3 baths, views from the 2nd floor balcony & laundry. Fully finished lower level, professionally landscaped grounds & off street parking are all found in the heart of Capitol Hill!",0.0,47.6316171,Capitol Hill,-122.3062876,4320.0,2375000,Single Family Residential,MLS Listing,3950.0,601.0,WA,Active,http://www.redfin.com/WA/Seattle/1235-20th-Ave-E-98112/home/135786,1909.0,98112,N
129,8620 31st Ave SW,1.0,3,Seattle,1,"Urban Gardener's Atomic Ranch: Large sunny yard, deck, fruit trees, garden beds, and berries surround this upgraded Westwood home. Move-in ready with new roof, efficient systems, and double-pane windows. It has a cozy fireplace and lovely original hardwoods, lots of light, and room to grow. The garage conversion is permit-ready to increase your square footage. Quality washer/dryer, plenty of storage. Make this friendly, walkable neighborhood near library, bus lines, and shopping your own!",0.0,47.5258003,Westwood,-122.3722622,7560.0,525000,Single Family Residential,MLS Listing,1040.0,505.0,WA,Active,http://www.redfin.com/WA/Seattle/8620-31st-Ave-SW-98126/home/473454,1952.0,98126,N
130,1031 NE 89th St,1.75,3,Seattle,1,"This classic 1930's Craftsman style brick home is centrally located in Maple Leaf, close to neighborhood parks, restaurants, coffee shops, hardware store & more. The home is sited on a generous size, south facing lot, filled w/ great natural light. Interior features include good size size entertainment areas, hardwood floors, crown molding, custom cabinetry, divided light windows & a remodeled lower level. The level yard features a deck, plenty of space for a garden & a detached two-car garage.",0.0,47.6928418,Maple Leaf,-122.3162367,6380.0,885000,Single Family Residential,MLS Listing,2280.0,388.0,WA,Active,http://www.redfin.com/WA/Seattle/1031-NE-89th-St-98115/home/109127,1930.0,98115,N
