,PROPERTY TYPE,ADDRESS,LOCATION,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,DAYS ON MARKET,HOA/MONTH,URL
1697,Single Family Residential 2018,26019 SE 38th Ct Issaquah WA 98029,Klahanie,969500.0,4,2.5,295,8411,88,50.0,http://www.redfin.com/WA/Issaquah/26019-SE-38th-Ct-98029/home/440277
1698,Single Family Residential 2018,26229 SE 42nd St Issaquah WA 98029,Plateau,699000.0,3,1.5,144,411206,89,212.,http://www.redfin.com/WA/Issaquah/26229-SE-42nd-St-98029/home/465882
1699,Single Family Residential 2018,5321 232nd Ave SE Issaquah WA 98029,Plateau,985000.0,5,2.75,380,29900,89,23.0,http://www.redfin.com/WA/Issaquah/5321-232nd-Ave-SE-98029/home/266959
1700,Single Family Residential 2018,25722 SE 37th St Issaquah WA 98029,Klahanie,675000.0,3,2.5,181,3951,90,83.0,http://www.redfin.com/WA/Issaquah/25722-SE-37th-St-98029/home/439340
1701,Single Family Residential 2018,470 5th (Lot 15) Ave NE Issaquah WA 98029,Issaquah Highlands,1219990.0,5,3,276,3453,90,212.,http://www.redfin.com/WA/Issaquah/470-15th-Ave-NE-98029/home/146081758
1702,Single Family Residential 2018,480 5th (Lot 17) Ave NE Issaquah WA 98029,Issaquah Highlands,1229990.0,5,3,276,4000,90,212.,http://www.redfin.com/WA/Issaquah/480-17th-Ave-NE-98029/home/146081696
1703,Condo/Co-op 2018,1698 25th Place NE #201 Issaquah WA 98029,Issaquah Highlands,387052.0,3,2,112,91714,90,454.,http://www.redfin.com/WA/Issaquah/1698-25th-Pl-NE-98029/unit-201/home/2096712
1704,Single Family Residential 2018,3209 234th Place SE Sammamish WA 98029,Issaquah/Sammamish,1279900.0,5,4,351,6009,91,76.0,http://www.redfin.com/WA/Issaquah/3209-234th-Ave-SE-98029/home/146077441
1705,Single Family Residential 2018,23042 SE 49th Ct #18 Issaquah WA 98029,Issaquah,1183073.0,4,4,362,5720,95,212.,http://www.redfin.com/WA/Issaquah/23042-SE-49th-St-98029/unit-18/home/146054839
1706,Condo/Co-op 2018,4058 Providence Point Dr SE #1024 Issaquah WA 98029,Providence Point,360000.0,2,1.75,139,296445,98,769.,http://www.redfin.com/WA/Issaquah/4058-Providence-Point-Dr-SE-98029/unit-1024/home/67810
1707,Single Family Residential 2018,480 5th (Lot 67) Ave NE Issaquah WA 98029,Issaquah Highlands,1099990.0,4,2.5,249,3825,99,212.,http://www.redfin.com/WA/Issaquah/480-5th-Lot-67-Ave-NE-98029/home/146033858
1708,Single Family Residential 2018,468 6th (Lot 62) Lane NE Issaquah WA 98029,Issaquah Highlands,1105990.0,4,2.5,249,3660,100,212.,http://www.redfin.com/WA/Issaquah/468-6th-Lot-62-Ln-NE-98029/home/145860132
1709,Single Family Residential 2018,4709 SE 244th Ct #9 Sammamish WA 98029,Issaquah-Fall City Rd,1019990.0,5,3.25,303,2945,101,125.,http://www.redfin.com/WA/Issaquah/4709-244th-Pl-SE-98029/unit-9/home/146018129
1710,Single Family Residential 2018,4718 SE 244th Ct #7 Sammamish WA 98029,Issaquah-Fall City Rd,1009990.0,5,3.25,303,2750,101,125.,http://www.redfin.com/WA/Issaquah/4718-244th-Pl-SE-98029/unit-7/home/146017965
1711,Single Family Residential 2018,4004 239th Place SE Sammamish WA 98029,Issaquah/Sammamish,758000.0,3,2,190,8952,102,10.0,http://www.redfin.com/WA/Issaquah/4004-239th-Pl-SE-98029/home/438663
1712,Single Family Residential 2018,4586 240th (Lot 26) Place SE Sammamish WA 98029,Issaquah/Sammamish,1161995.0,5,3.5,282,3249,103,78.0,http://www.redfin.com/WA/Issaquah/4586-240th-Pl-SE-98029/home/106725712
1713,Condo/Co-op 2018,1736 10th Ave NE Unit C216 Issaquah WA 98029,Issaquah Highlands,436817.0,3,1.75,120,101808,105,393.,http://www.redfin.com/WA/Issaquah/1736-10th-Ave-NE-98029/unit-C216/home/17382238
1714,Townhouse 2018,4263 Providence Point Dr SE #2104 Issaquah WA 98029,Providence Point,365000.0,2,1.75,160,97298,105,878.,http://www.redfin.com/WA/Issaquah/4263-Providence-Point-Dr-SE-98029/unit-2104/home/29150
1715,Condo/Co-op 2018,4049 223rd Place SE #2027 Issaquah WA 98029,Providence Point,447000.0,2,1.75,160,97298,108,850.,http://www.redfin.com/WA/Issaquah/4049-223rd-Pl-SE-98029/unit-2027/home/53590
1716,Single Family Residential 2018,457 5th (Lot 29) Ave NE Issaquah WA 98029,Issaquah Highlands,1288990.0,5,3.25,308,3929,114,212.,http://www.redfin.com/WA/Issaquah/457-29th-Ave-NE-98029/home/145860292
1717,Single Family Residential 2018,944 10th Place NW #2 Issaquah WA 98027,Issaquah,1481998.0,4,3.5,365,8405,122,125.,http://www.redfin.com/WA/Issaquah/944-10th-Pl-NE-98029/unit-2/home/146337312
1718,Condo/Co-op 2018,930 7th (UNIT 18.4) Ave NE Issaquah WA 98029,Issaquah Highlands,892990.0,4,2.75,219,97298,125,361.,http://www.redfin.com/WA/Issaquah/930-4th-Ave-NE-98029/home/145664278
1719,Condo/Co-op 2018,909 7th (UNIT 18.5) Ave NE Issaquah WA 98029,Issaquah Highlands,774990.0,3,2.75,151,97298,125,361.,http://www.redfin.com/WA/Issaquah/909-5th-Pl-NE-98029/home/145664233
1720,Condo/Co-op 2018,1696 25th Ave NE #104 Issaquah WA 98029,Issaquah Highlands,378000.0,2,2,941,91714,141,353.,http://www.redfin.com/WA/Issaquah/1696-25th-Ave-NE-98029/unit-104/home/147035823
1721,Single Family Residential 2018,4752 244th Ct SE #4 Sammamish WA 98029,Issaquah-Fall City Rd,980990.0,5,3.25,284,3080,143,125.,http://www.redfin.com/WA/Sammamish/4752-244th-Ct-SE-98075/unit-4/home/145534200
1722,Single Family Residential 2018,23926 SE 45th (Lot 38) Terr Sammamish WA 98029,Issaquah/Sammamish,1129995.0,4,2.5,294,3194,167,78.0,http://www.redfin.com/WA/Issaquah/23926-SE-45th-Ter-98029/home/106725713
1723,Single Family Residential 2018,3287 234th Place SE Sammamish WA 98029,Sammamish,1234900.0,5,3.5,302,6586,173,76.0,http://www.redfin.com/WA/Issaquah/3287-234th-Ave-SE-98029/home/145247990
1724,Single Family Residential 2018,4778 SE 244th Ct #2 Sammamish WA 98029,Issaquah-Fall City Rd,999990.0,5,3.25,303,2750,206,125.,http://www.redfin.com/WA/Issaquah/4778-244th-Pl-SE-98029/unit-2/home/144919216
1725,Vacant Land 2018,26519 SE Grand Ridge Dr Issaquah WA 98029,Issaquah Highlands,595000.0,0,2.69,266,102802,399,212.,http://www.redfin.com/WA/Issaquah/26519-Grand-Ridge-Dr-98029/home/22690975
1726,Single Family Residential 2018,4969 229th Ave SE Lot 10 Issaquah WA 98029,Issaquah/Sammamish,1200950.0,4,2.75,326,5261,440,212.,http://www.redfin.com/WA/Issaquah/4969-229th-Ave-SE-98029/unit-10/home/139639744
1727,Single Family Residential 2018,3364 234th Pl SE Issaquah WA 98029,Jacobs Landing,1284900.0,5,4,351,97298,21,212.,http://www.redfin.com/WA/Issaquah/3364-234th-Pl-SE-98029/home/146886635
1728,Single Family Residential 2018,4709 244th Ct SE Issaquah WA 98029,Cambridge,1003990.0,5,3.5,303,97298,98,212.,http://www.redfin.com/WA/Issaquah/4709-244th-Ct-SE-98029/home/146341114
1729,Single Family Residential 2018,4718 244th Ct SE Issaquah WA 98029,Cambridge,1008990.0,5,3.5,306,97298,98,212.,http://www.redfin.com/WA/Issaquah/4718-244th-Ct-SE-98029/home/146341111
1730,Single Family Residential 2018,4752 244th Ct SE Issaquah WA 98029,Cambridge,983990.0,5,3.5,284,97298,140,212.,http://www.redfin.com/WA/ISSAQUAH/4752-244TH-CT-SE-98029/home/143457276
1731,Single Family Residential 2018,4778 244th Ct SE Issaquah WA 98029,Cambridge,1003990.0,5,3.5,303,97298,203,212.,http://www.redfin.com/WA/Issaquah/4778-244th-Ct-SE-98029/home/146832511
1732,Townhouse 2018,F20 Issaquah WA 98029,Westridge Townhomes,915990.0,4,4,229,97298,156,212.,http://www.redfin.com/WA/Issaquah/Westridge-Townhomes/F20/home/146828932
1733,Townhouse 2018,E20 Issaquah WA 98029,Westridge Townhomes,879990.0,4,4,219,97298,156,212.,http://www.redfin.com/WA/Issaquah/Westridge-Townhomes/E20/home/146786333
1734,Single Family Residential 2018,The Sammamish 3 Issaquah WA 98029,Westridge at Issaquah Highlands,1249990.0,5,3.5,276,97298,156,212.,http://www.redfin.com/WA/Issaquah/Westridge-at-Issaquah-Highlands/The-Sammamish-3/home/146075555
1735,Single Family Residential 2018,Residence H-303 Issaquah WA 98029,Jacobs Landing,1287900.0,5,3,302,97298,156,212.,http://www.redfin.com/WA/Issaquah/Jacobs-Landing/Residence-H-303/home/146409605
1736,Single Family Residential 2018,PE 4378 Issaquah WA 98027,Pickering Estates,1594990.0,5,3,437,97298,156,212.,http://www.redfin.com/WA/Issaquah/Pickering-Estates/PE-4378/home/145174510
1737,Townhouse 2018,E16 Issaquah WA 98029,Westridge Townhomes,760990.0,3,3,151,97298,156,212.,http://www.redfin.com/WA/Issaquah/Westridge-Townhomes/E16/home/146786335
1738,Townhouse 2018,F22 Issaquah WA 98029,Westridge Townhomes,948990.0,3,4,236,97298,156,212.,http://www.redfin.com/WA/Issaquah/Westridge-Townhomes/F22/home/146786334
1739,Single Family Residential 2018,Residence H-345 Issaquah WA 98029,Jacobs Landing,1351900.0,5,5,351,97298,156,212.,http://www.redfin.com/WA/Issaquah/Jacobs-Landing/Residence-H-345/home/146409603
1740,Single Family Residential 2018,PE 3835 Issaquah WA 98027,Pickering Estates,1534990.0,5,3,383,97298,156,212.,http://www.redfin.com/WA/Issaquah/Pickering-Estates/PE-3835/home/145174511
1741,Single Family Residential 2018,JR 3627 Issaquah WA 98029,Jazz Run,1174990.0,4,2.5,362,97298,156,212.,http://www.redfin.com/WA/Issaquah/Jazz-Run/JR-3627/home/145174496
1742,Single Family Residential 2018,JR 3251 Issaquah WA 98029,Jazz Run,1121990.0,4,3.5,325,97298,156,212.,http://www.redfin.com/WA/Issaquah/Jazz-Run/JR-3251/home/145174498
1743,Single Family Residential 2018,JR 3449 Issaquah WA 98029,Jazz Run,1149990.0,6,3.5,344,97298,156,212.,http://www.redfin.com/WA/Issaquah/Jazz-Run/JR-3449/home/145174497
1744,Single Family Residential 2018,JR 3241 Issaquah WA 98029,Jazz Run,1114990.0,5,3.5,324,97298,156,212.,http://www.redfin.com/WA/Issaquah/Jazz-Run/JR-3241/home/145174499
1745,Single Family Residential 2018,JR 3084 Issaquah WA 98029,Jazz Run,1104990.0,5,3,308,97298,156,212.,http://www.redfin.com/WA/Issaquah/Jazz-Run/JR-3084/home/145174500
1746,Single Family Residential 2018,The Cougar 3 Issaquah WA 98029,Westridge at Issaquah Highlands,1299990.0,5,3.5,308,97298,156,212.,http://www.redfin.com/WA/Issaquah/Westridge-at-Issaquah-Highlands/The-Cougar-3/home/146075556
1747,Single Family Residential 2018,The Cougar 3e Issaquah WA 98029,Westridge at Issaquah Highlands,1279990.0,5,3.5,308,97298,156,212.,http://www.redfin.com/WA/Issaquah/Westridge-at-Issaquah-Highlands/The-Cougar-3e/home/146465455
1748,Single Family Residential 2018,PE 4008 Issaquah WA 98027,Pickering Estates,1539703.0,5,3,400,97298,156,212.,http://www.redfin.com/WA/Issaquah/Pickering-Estates/PE-4008/home/145174512
1749,Single Family Residential 2018,PE 3859B Issaquah WA 98027,Pickering Estates,1482490.0,5,3,385,97298,156,212.,http://www.redfin.com/WA/Issaquah/Pickering-Estates/PE-3859B/home/145174513
1750,Single Family Residential 2018,PE 3410C Issaquah WA 98027,Pickering Estates,1444307.0,5,4,341,97298,156,212.,http://www.redfin.com/WA/Issaquah/Pickering-Estates/PE-3410C/home/145174516
1751,Single Family Residential 2018,PE 3654A Issaquah WA 98027,Pickering Estates,1469990.0,5,3.5,365,97298,156,212.,http://www.redfin.com/WA/Issaquah/Pickering-Estates/PE-3654A/home/145174515
1752,Single Family Residential 2018,PE 3654B Issaquah WA 98027,Pickering Estates,1454990.0,5,3.5,365,97298,156,212.,http://www.redfin.com/WA/Issaquah/Pickering-Estates/PE-3654B/home/145174514
1753,Single Family Residential 2018,The Tiger 3 Issaquah WA 98029,Westridge at Issaquah Highlands,1393990.0,5,3.5,340,97298,156,212.,http://www.redfin.com/WA/Issaquah/Westridge-at-Issaquah-Highlands/The-Tiger-3/home/146087297
1754,Single Family Residential 2018,Cambridge 3200 Issaquah WA 98029,Cambridge,1033990.0,4,2.5,320,97298,156,212.,http://www.redfin.com/WA/Issaquah/Cambridge/Cambridge-3200/home/137363134
1755,Single Family Residential 2018,Cambridge 3134 Issaquah WA 98029,Cambridge,1018990.0,5,3,313,97298,156,212.,http://www.redfin.com/WA/Issaquah/Cambridge/Cambridge-3134/home/145174493
1756,Single Family Residential 2018,Cambridge 3067 Issaquah WA 98029,Cambridge,1008990.0,5,3.5,306,97298,156,212.,http://www.redfin.com/WA/Issaquah/Cambridge/Cambridge-3067/home/145174494
1757,Single Family Residential 2018,Cambridge 3038 Issaquah WA 98029,Cambridge,1003990.0,5,3.5,303,97298,156,212.,http://www.redfin.com/WA/Issaquah/Cambridge/Cambridge-3038/home/137363144
1758,Single Family Residential 2018,Forest Heights 3180 Issaquah WA 98027,Forest Heights,1054990.0,4,3.5,318,97298,156,212.,http://www.redfin.com/WA/Issaquah/Forest-Heights/Forest-Heights-3180/home/145174501
1759,Single Family Residential 2018,Cambridge 2842 Issaquah WA 98029,Cambridge,983990.0,5,3.5,284,97298,156,212.,http://www.redfin.com/WA/Issaquah/Cambridge/Cambridge-2842/home/145174495
1760,Single Family Residential 2018,The Tiger 2e Issaquah WA 98029,Westridge at Issaquah Highlands,1129990.0,4,2.5,249,97298,156,212.,http://www.redfin.com/WA/Issaquah/Westridge-at-Issaquah-Highlands/The-Tiger-2e/home/146107885
1761,Single Family Residential 2018,The Squak 3 Issaquah WA 98029,Westridge at Issaquah Highlands,1281990.0,4,3,310,97298,156,212.,http://www.redfin.com/WA/Issaquah/Westridge-at-Issaquah-Highlands/The-Squak-3/home/146075558
1762,Single Family Residential 2018,Forest Heights 3132 Issaquah WA 98027,Forest Heights,1039990.0,5,3.5,313,97298,156,212.,http://www.redfin.com/WA/Issaquah/Forest-Heights/Forest-Heights-3132/home/145174502
1763,Single Family Residential 2018,The Tiger 2 Issaquah WA 98029,Westridge at Issaquah Highlands,1099990.0,4,2.5,249,97298,156,212.,http://www.redfin.com/WA/Issaquah/Westridge-at-Issaquah-Highlands/The-Tiger-2/home/146107886
1764,Single Family Residential 2018,Forest Heights 3082 Issaquah WA 98027,Forest Heights,1024990.0,5,3.5,308,97298,156,212.,http://www.redfin.com/WA/Issaquah/Forest-Heights/Forest-Heights-3082/home/145174503
1765,Single Family Residential 2018,The Cougar 2e Issaquah WA 98029,Westridge at Issaquah Highlands,1046990.0,4,2.5,222,97298,156,212.,http://www.redfin.com/WA/Issaquah/Westridge-at-Issaquah-Highlands/The-Cougar-2e/home/146075559
1766,Single Family Residential 2018,Forest Heights 3063 Issaquah WA 98027,Forest Heights,1014990.0,4,3.5,306,97298,156,212.,http://www.redfin.com/WA/Issaquah/Forest-Heights/Forest-Heights-3063/home/145174504
1767,Single Family Residential 2018,The Cougar 2 Issaquah WA 98029,Westridge at Issaquah Highlands,999990.0,4,2.5,222,97298,156,212.,http://www.redfin.com/WA/Issaquah/Westridge-at-Issaquah-Highlands/The-Cougar-2/home/146075560
1768,Single Family Residential 2018,Forest Heights 2830 Issaquah WA 98027,Forest Heights,979990.0,4,2.5,283,97298,156,212.,http://www.redfin.com/WA/Issaquah/Forest-Heights/Forest-Heights-2830/home/145174505
1769,Single Family Residential 2018,5206 NE 8th St Renton WA 98059,Highlands,679900.0,4,2.5,261,5611,60,30.0,http://www.redfin.com/WA/Renton/5206-NE-8th-St-98059/home/12318162
1770,Single Family Residential 2018,16332 SE 132nd St Renton WA 98059,East Renton,399800.0,3,1.5,132,9600,61,212.,http://www.redfin.com/WA/Renton/16332-SE-132nd-St-98059/home/249161
1771,Condo/Co-op 2018,4231 NE 5th St Unit C102 Renton WA 98059,Highlands,289000.0,2,1.5,936,53134,62,436.,http://www.redfin.com/WA/Renton/4231-NE-5th-St-98059/unit-C102/home/28282
1772,Single Family Residential 2018,13612 196th Ave SE Renton WA 98059,East Renton,489950.0,4,1.75,224,7200,63,212.,http://www.redfin.com/WA/Renton/13612-196th-Ave-SE-98059/home/249190
1773,Mobile/Manufactured Home 2018,201 Union Ave SE #175 Renton WA 98059,Highlands,64950.0,3,2,144,97298,66,212.,http://www.redfin.com/WA/Renton/201-Union-Ave-SE-98059/unit-175/home/40081520
1774,Single Family Residential 2018,8321 144th Ave SE Newcastle WA 98059,China Creek,1465000.0,4,2.5,369,9202,68,33.0,http://www.redfin.com/WA/Newcastle/8321-144th-Ave-SE-98059/home/2080984
1775,Single Family Residential 2018,14527 160th (Lot 7) Ct SE Renton WA 98059,Highlands,924995.0,4,2.75,317,8008,68,157.,http://www.redfin.com/WA/Renton/14527-160th-Ave-SE-98059/home/146213689
1776,Single Family Residential 2018,15113 SE 141st Place Renton WA 98059,East Renton,569998.0,3,2.5,232,14820,68,212.,http://www.redfin.com/WA/Renton/15113-SE-141st-Pl-98059/home/246621
1777,Single Family Residential 2018,670 Vashon Place NE Renton WA 98059,Highlands,569888.0,3,2.5,173,6809,68,20.0,http://www.redfin.com/WA/Renton/670-Vashon-Pl-NE-98059/home/244887
1778,Vacant Land 2018,SE 147th St Renton WA 98059,Maple Hills,575000.0,0,2.69,266,201247,69,212.,http://www.redfin.com/WA/Renton/SE-147th-St-98059/home/146207507
1779,Single Family Residential 2018,14408 160th (Lot 21) Ct SE Renton WA 98059,Highlands,930995.0,4,3,323,9100,69,157.,http://www.redfin.com/WA/Renton/14408-SE-21st-Ct-98055/home/146206972
1780,Single Family Residential 2018,222 Field Ave NE Renton WA 98059,Highlands,768000.0,4,2.75,312,8620,69,8.0,http://www.redfin.com/WA/Renton/222-Field-Ave-NE-98059/home/22223705
1781,Single Family Residential 2018,4807 NE 13th Place Renton WA 98059,Renton,679000.0,4,3.5,295,3122,69,35.0,http://www.redfin.com/WA/Renton/4807-NE-13th-Pl-98059/home/18660224
1782,Single Family Residential 2018,4308 NE 11th St Renton WA 98059,Highlands,495000.0,4,2.25,138,7700,70,212.,http://www.redfin.com/WA/Renton/4308-NE-11th-St-98059/home/243457
1783,Single Family Residential 2018,5756 NE 7th Ct Renton WA 98059,Highlands,799950.0,3,2.5,217,5978,71,124.,http://www.redfin.com/WA/Renton/5756-NE-7th-Ct-98059/home/146196402
1784,Single Family Residential 2018,5716 NE 7th Ct Renton WA 98059,Highlands,829950.0,4,2.5,250,5423,71,124.,http://www.redfin.com/WA/Renton/5716-NE-7th-Ct-98059/home/146196373
1785,Single Family Residential 2018,5726 NE 7th Ct Renton WA 98059,Highlands,949950.0,5,3.5,377,5650,71,124.,http://www.redfin.com/WA/Renton/5726-NE-7th-Ct-98059/home/146196372
1786,Single Family Residential 2018,5734 NE 7th Ct Renton WA 98059,Highlands,899950.0,5,2.75,304,4873,71,124.,http://www.redfin.com/WA/Renton/5734-NE-7th-Ct-98059/home/146196371
1787,Single Family Residential 2018,4105 NE 22nd St Renton WA 98059,Highlands,729950.0,3,2.5,227,6500,78,212.,http://www.redfin.com/WA/Renton/4105-NE-22nd-St-98059/home/409828
1788,Townhouse 2018,4526 NE 6th Ct Renton WA 96059,Highlands,389000.0,2,2.5,143,97298,80,493.,http://www.redfin.com/WA/Renton/4526-NE-6th-Ct-98059/home/36543
1789,Single Family Residential 2018,16320 SE 132nd St Renton WA 98059,East Renton,359900.0,3,1,100,8400,81,212.,http://www.redfin.com/WA/Renton/16320-SE-132nd-St-98059/home/249163
1790,Townhouse 2018,7006 E 134th Ct SE #20 Newcastle WA 98059,Newcastle,725000.0,3,2.5,197,125538,82,275.,http://www.redfin.com/WA/Newcastle/7006-134th-Ct-SE-98059/unit-20/home/50269492
1791,Vacant Land 2018,20105 SE 152nd St Renton WA 98059,Maple Hills,244950.0,0,2.69,266,19912,83,212.,http://www.redfin.com/WA/Renton/20105-SE-152nd-St-98059/home/22515912
1792,Condo/Co-op 2018,4300 NE Sunset Blvd Unit A2 Renton WA 98059,Renton,205000.0,2,1,787,97298,88,407.,http://www.redfin.com/WA/Renton/4300-NE-Sunset-Blvd-98059/unit-A2/home/43188
1793,Single Family Residential 2018,5110 NE 25th St Renton WA 98059,Newcastle,774950.0,3,2.5,260,35785,89,212.,http://www.redfin.com/WA/Renton/5110-NE-25th-St-98059/home/21617627
1794,Mobile/Manufactured Home 2018,201 Union Ave SE #192 Renton WA 98059,Highlands,77950.0,3,1.75,168,97298,99,212.,http://www.redfin.com/WA/Renton/201-Union-Ave-SE-98059/unit-192/home/40126686
1795,Single Family Residential 2018,14435 161st (Lot 13) Ave SE Renton WA 98059,Highlands,899995.0,5,2.75,298,8659,102,157.,http://www.redfin.com/WA/Renton/14435-Renton-Issaquah-Rd-SE-98059/home/146012488
1796,Townhouse 2018,7416 Newcastle Golf Club Rd Unit 2-D Newcastle WA 98059,Newcastle,555000.0,3,2.5,136,97298,102,329.,http://www.redfin.com/WA/Newcastle/7416-Newcastle-Golf-Club-Rd-98059/unit-2-D/home/45330
1797,Single Family Residential 2018,14716 SE 83rd Place Newcastle WA 98059,Newcastle,2150000.0,5,4.25,523,16848,103,50.0,http://www.redfin.com/WA/Newcastle/14716-SE-83rd-Pl-98059/home/2090835
1798,Single Family Residential 2018,659 Ilwaco Ave NE Renton WA 98059,East Renton,669950.0,3,2.25,204,6803,109,212.,http://www.redfin.com/WA/Renton/659-Ilwaco-Ave-NE-98059/home/28581687
1799,Single Family Residential 2018,13311 191st Ave SE Renton WA 98059,Lake Kathleen,1050000.0,3,3.5,388,27322,109,212.,http://www.redfin.com/WA/Renton/13311-191st-Ave-SE-98059/home/145925400
1800,Vacant Land 2018,SE 106th St Renton WA 98059,May Valley,424000.0,0,2.69,266,218235,112,212.,http://www.redfin.com/WA/Renton/SE-106th-St-98059/home/114016570
1801,Single Family Residential 2018,14513 SE 79th Dr Newcastle WA 98059,China Creek,936000.0,3,2.25,255,7591,116,35.0,http://www.redfin.com/WA/Newcastle/14513-SE-79th-Dr-98059/home/416977
1802,Single Family Residential 2018,14204 156th Ave SE Renton WA 98059,Briarwood,1850000.0,3,1.75,150,122839,119,212.,http://www.redfin.com/WA/Renton/14204-156th-Ave-SE-98059/home/249487
1803,Vacant Land 2018,1306 Hoquiam Ave NE Renton WA 98059,Hazen,325000.0,0,2.69,266,48351,122,212.,http://www.redfin.com/WA/Renton/1306-Hoquiam-Ave-NE-98059/home/243582
1804,Single Family Residential 2018,14717 206th Ave SE Renton WA 98059,Maple Hills,470000.0,4,1.75,177,14155,124,35.0,http://www.redfin.com/WA/Renton/14717-206th-Ave-SE-98059/home/248484
1805,Single Family Residential 2018,15306 SE 82nd St Newcastle WA 98059,Newcastle,2050000.0,4,4.5,425,12675,125,55.0,http://www.redfin.com/WA/Newcastle/15306-SE-82nd-St-98059/home/2075545
1806,Single Family Residential 2018,17818 SE 136th St Renton WA 98059,East Renton,499950.0,4,1.75,212,41976,125,212.,http://www.redfin.com/WA/Renton/17818-SE-136th-St-98059/home/249403
1807,Single Family Residential 2018,12433 SE 89th Place Newcastle WA 98056,Newcastle,1089950.0,5,3.5,313,41825,126,212.,http://www.redfin.com/WA/Newcastle/12433-SE-89th-Pl-98056/home/415982
1808,Single Family Residential 2018,16013 SE 140th St Renton WA 98059,Renton,1150000.0,4,3.75,350,7682,130,67.0,http://www.redfin.com/WA/Renton/16013-SE-140th-St-98059/home/145629079
1809,Single Family Residential 2018,13506 SE 83rd St Newcastle WA 98059,Newcastle,949000.0,4,3.5,320,16345,131,212.,http://www.redfin.com/WA/Newcastle/13506-SE-83rd-St-98059/home/416094
1810,Single Family Residential 2018,14630 204th Ave SE Renton WA 98059,Maple Hills,439950.0,3,1.75,134,15000,144,35.0,http://www.redfin.com/WA/Renton/14630-204th-Ave-SE-98059/home/248655
1811,Vacant Land 2018,5815 NE 8th St Renton WA 98059,Highlands,1275000.0,0,2.69,266,84070,151,212.,http://www.redfin.com/WA/Renton/5815-NE-8th-St-98059/home/22434832
1812,Vacant Land 2018,122 156th Ave SE Lot 22 Renton WA 98059,East Renton,260000.0,0,2.69,266,10726,155,212.,http://www.redfin.com/WA/Renton/122-155th-Ave-SE-98059/unit-22/home/145330542
1813,Vacant Land 2018,122 155th Ave SE Lot 05 Renton WA 98059,East Renton,310000.0,0,2.69,266,10726,155,212.,http://www.redfin.com/WA/Renton/122-155th-Ave-SE-98059/unit-05/home/145330506
1814,Vacant Land 2018,122 156th Ave SE Lot 10 Renton WA 98059,East Renton,260000.0,0,2.69,266,10726,155,212.,http://www.redfin.com/WA/Renton/122-155th-Ave-SE-98059/unit-10/home/145330505
1815,Vacant Land 2018,122 156th Ave SE Lot 11 Renton WA 98059,East Renton,260000.0,0,2.69,266,10726,155,212.,http://www.redfin.com/WA/Renton/122-155th-Ave-SE-98059/unit-11/home/145330504
1816,Vacant Land 2018,122 156th Ave SE Lot 24 Renton WA 98059,East Renton,260000.0,0,2.69,266,10726,155,212.,http://www.redfin.com/WA/Renton/122-155th-Ave-SE-98059/unit-24/home/145330503
1817,Vacant Land 2018,122 156th Ave SE Lot 27 Renton WA 98059,East Renton,260000.0,0,2.69,266,10726,155,212.,http://www.redfin.com/WA/Renton/122-155th-Ave-SE-98059/unit-27/home/145330502
1818,Vacant Land 2018,122 156th Ave SE Lot 29 Renton WA 98059,East Renton,310000.0,0,2.69,266,10726,155,212.,http://www.redfin.com/WA/Renton/122-155th-Ave-SE-98059/unit-29/home/145330501
1819,Vacant Land 2018,122 155th Ave SE Lot 02 Renton WA 98059,East Renton,260000.0,0,2.69,266,10726,155,212.,http://www.redfin.com/WA/Renton/122-155th-Ave-SE-98059/unit-02/home/145330479
1820,Vacant Land 2018,122 155th Ave SE Lot 03 Renton WA 98059,East Renton,260000.0,0,2.69,266,10726,155,212.,http://www.redfin.com/WA/Renton/122-155th-Ave-SE-98059/unit-03/home/145330478
1821,Vacant Land 2018,14007 183 Ave SE #0342 Renton WA 98059,Briarwood,149950.0,0,2.69,266,20020,181,212.,http://www.redfin.com/WA/Renton/14007-183rd-Ave-SE-98059/unit-0342/home/145187386
1822,Vacant Land 2018,14007 183 Ave SE #0340 Renton WA 98059,Briarwood,149950.0,0,2.69,266,20020,181,212.,http://www.redfin.com/WA/Renton/14007-183rd-Ave-SE-98059/unit-0340/home/145187257
1823,Single Family Residential 2018,14529 161st (Lot 10) Ave SE Renton WA 98059,Highlands,944995.0,4,2.75,315,9990,229,157.,http://www.redfin.com/WA/Renton/14529-206th-Ave-SE-98059/home/144797879
1824,Vacant Land 2018,13633 171st Ave SE Renton WA 98056,Briarwood,395000.0,0,2.69,266,28611,398,212.,http://www.redfin.com/WA/Renton/13633-171st-Ave-SE-98059/home/22553764
1825,Townhouse 2018,6632 135th Ct SE Unit c-3 Newcastle WA 98056,Aldea,739900.0,2,2.5,137,97298,35,212.,http://www.redfin.com/WA/Newcastle/6968C-134th-Ct-SE-98059/unit-C-3/home/146592712
1826,Townhouse 2018,6620 135th Ct SE Unit c-4 Newcastle WA 98056,Aldea,747900.0,2,2.5,137,97298,35,212.,http://www.redfin.com/WA/Renton/6620-135th-Ct-SE-98056/unit-c-4/home/146682751
1827,Single Family Residential 2018,683 Orcas Ct NE Renton WA 98059,Weston Heights,974950.0,5,3,304,97298,56,212.,http://www.redfin.com/WA/Renton/683-Orcas-Pl-NE-98059/home/146803218
